Land,RB,RS.Kreis,VB,Gem,name,flaeche,insgesamt,maennlich,weiblich,Laengengrad,Breitengrad,bevoelkerungsdichte,
01,0,51,5169,096,Sankt Annen,"  14,89",  321,  167,  154,"9,07975","54,345413",03,gering besiedelt
01,0,51,5169,100,Schalkholz,"  12,50",  602,  303,  299,"9,257028","54,246244",03,gering besiedelt
01,0,51,5169,102,Schlichting,"  12,50",  233,  125,  108,"9,089378","54,31014",03,gering besiedelt
01,0,51,5169,114,Tellingstedt,"  21,10", 2 627, 1 299, 1 328,"9,281893","54,219968",03,gering besiedelt
01,0,51,5169,117,Tielenhemme,"  12,71",  174,  85,  89,"9,378654","54,269463",03,gering besiedelt
01,0,51,5169,120,Wallen,"  1,86",  36,  18,  18,"9,269538","54,2845",03,gering besiedelt
01,0,51,5169,125,Welmbuettel,"  7,60",  462,  230,  232,"9,246826","54,196873",03,gering besiedelt
01,0,51,5169,131,Westerborstel,"  4,14",  108,  51,  57,"9,260601","54,220136",03,gering besiedelt
01,0,51,5169,133,Wiemerstedt,"  5,08",  157,  78,  79,"9,111231","54,269297",03,gering besiedelt
01,0,51,5169,136,Wrohm,"  11,45",  678,  359,  319,"9,379505","54,212642",03,gering besiedelt
01,0,51,5169,139,Suederdorf,"  16,21",  374,  185,  189,"9,343789","54,207468",03,gering besiedelt
01,0,51,5169,141,Suederheistedt,"  8,44",  551,  273,  278,"9,148463","54,23483",03,gering besiedelt
01,0,51,5172,048,Hemmingstedt,"  16,01", 2 860, 1 443, 1 417,"9,073156","54,14876",03,gering besiedelt
01,0,51,5172,067,Lieth,"  4,66",  403,  183,  220,"9,060773","54,15531",03,gering besiedelt
01,0,51,5172,069,Lohe-Rickelshof,"  5,39", 2 072,  983, 1 089,"9,065769","54,187792",02,mittlere Besiedlungsdichte
01,0,51,5172,075,Neuenkirchen,"  25,14", 1 002,  519,  483,"8,988145","54,235651",03,gering besiedelt
01,0,51,5172,081,Norderwoehrden,"  18,47",  300,  159,  141,"9,000232","54,192783",03,gering besiedelt
01,0,51,5172,082,Nordhastedt,"  26,56", 2 754, 1 369, 1 385,"9,181911","54,171841",03,gering besiedelt
01,0,51,5172,087,Ostrohe,"  6,67",  943,  472,  471,"9,130804","54,214",02,mittlere Besiedlungsdichte
01,0,51,5172,107,Stelle-Wittenwurth,"  10,71",  443,  203,  240,"9,061114","54,262554",03,gering besiedelt
01,0,51,5172,113,Woehrden,"  21,77", 1 259,  638,  621,"8,994508","54,165463",03,gering besiedelt
01,0,51,5172,122,Weddingstedt,"  17,79", 2 291, 1 127, 1 164,"9,088863","54,239275",03,gering besiedelt
01,0,51,5172,130,Wesseln,"  3,76", 1 418,  715,  703,"9,075443","54,208327",02,mittlere Besiedlungsdichte
01,0,51,5175,001,Albersdorf,"  17,12", 3 433, 1 665, 1 768,"9,283995","54,146557",03,gering besiedelt
01,0,51,5175,002,Arkebek,"  6,92",  219,  109,  110,"9,250325","54,159662",03,gering besiedelt
01,0,51,5175,004,Bargenstedt,"  11,90",  929,  445,  484,"9,144199","54,095594",03,gering besiedelt
01,0,51,5175,006,Barlt,"  22,88",  794,  397,  397,"9,058002","54,012444",03,gering besiedelt
01,0,51,5175,015,Bunsoh,"  11,75",  786,  396,  390,"9,320225","54,165522",03,gering besiedelt
01,0,51,5175,017,Busenwurth,"  10,09",  298,  162,  136,"9,04131","54,041612",03,gering besiedelt
01,0,51,5175,027,Elpersbuettel,"  30,17",  870,  453,  417,"9,047156","54,072963",03,gering besiedelt
01,0,51,5175,028,Epenwoehrden,"  13,52",  757,  369,  388,"9,052894","54,112805",03,gering besiedelt
01,0,51,5175,039,Gudendorf,"  6,04",  379,  189,  190,"9,1082","54,024745",03,gering besiedelt
01,0,51,5175,054,Immenstedt,"  3,09",  96,  46,  50,"9,299737","54,180686",03,gering besiedelt
01,0,51,5175,063,Krumstedt,"  15,89",  505,  247,  258,"9,177954","54,068684",03,gering besiedelt
01,0,51,5175,074,"Meldorf, Stadt","  21,25", 7 294, 3 498, 3 796,"9,068784","54,090945",02,mittlere Besiedlungsdichte
01,0,51,5175,078,Nindorf,"  8,73", 1 168,  587,  581,"9,114943","54,086722",02,mittlere Besiedlungsdichte
01,0,51,5175,083,Odderade,"  11,26",  321,  166,  155,"9,190795","54,139384",03,gering besiedelt
01,0,51,5175,085,Offenbuettel,"  13,95",  265,  133,  132,"9,358039","54,169258",03,gering besiedelt
01,0,51,5175,086,Osterrade,"  17,09",  396,  201,  195,"9,353264","54,190212",03,gering besiedelt
01,0,51,5175,098,Sarzbuettel,"  13,39",  709,  356,  353,"9,184289","54,118971",03,gering besiedelt
01,0,51,5175,099,Schafstedt,"  18,16", 1 307,  663,  644,"9,293675","54,079915",03,gering besiedelt
01,0,51,5175,104,Schrum,"  5,00",  71,  40,  31,"9,251667","54,187229",03,gering besiedelt
01,0,51,5175,126,Wennbuettel,"  4,59",  85,  40,  45,"9,32237","54,137969",03,gering besiedelt
01,0,51,5175,134,Windbergen,"  17,31",  808,  413,  395,"9,117929","54,044949",03,gering besiedelt
01,0,51,5175,135,Wolmersdorf,"  6,10",  342,  170,  172,"9,103978","54,077114",03,gering besiedelt
01,0,51,5175,137,Nordermeldorf,"  34,10",  596,  310,  286,"9,013655","54,104638",03,gering besiedelt
01,0,51,5175,138,Tensbuettel-Roest,"  19,36",  670,  329,  341,"9,237322","54,116572",03,gering besiedelt
01,0,51,5178,013,Buesum,"  8,48", 4 782, 2 224, 2 558,"8,860613","54,129253",03,gering besiedelt
01,0,51,5178,014,Buesumer Deichhausen,"  2,87",  371,  168,  203,"8,890088","54,136175",03,gering besiedelt
01,0,51,5178,033,Friedrichsgabekoog,"  8,62",  49,  25,  24,"8,941082","54,157516",03,gering besiedelt
01,0,51,5178,043,Hedwigenkoog,"  16,36",  236,  108,  128,"8,840953","54,177985",03,gering besiedelt
01,0,51,5178,045,Hellschen-Heringsand-Unterschaar,"  7,02",  169,  87,  82,"8,872882","54,194536",03,gering besiedelt
01,0,51,5178,050,Hillgroven,"  3,60",  73,  44,  29,"8,874901","54,227921",03,gering besiedelt
01,0,51,5178,079,Norddeich,"  6,90",  409,  217,  192,"8,899964","54,218058",03,gering besiedelt
01,0,51,5178,084,Oesterdeichstrich,"  4,63",  254,  130,  124,"8,900566","54,158891",03,gering besiedelt
01,0,51,5178,093,Reinsbuettel,"  6,83",  441,  216,  225,"8,911057","54,179073",03,gering besiedelt
01,0,51,5178,105,Schuelp,"  9,27",  454,  236,  218,"8,92997","54,241672",03,gering besiedelt
01,0,51,5178,108,Struebbel,"  4,40",  85,  38,  47,"8,971812","54,260389",03,gering besiedelt
01,0,51,5178,109,Suederdeich,"  6,64",  467,  222,  245,"8,91131","54,201711",03,gering besiedelt
01,0,51,5178,121,Warwerort,"  4,57",  245,  126,  119,"8,921723","54,141177",03,gering besiedelt
01,0,51,5178,127,"Wesselburen, Stadt","  5,14", 3 006, 1 440, 1 566,"8,920686","54,212159",03,gering besiedelt
01,0,51,5178,128,Wesselburener Deichhausen,"  5,07",  123,  63,  60,"8,937237","54,174947",03,gering besiedelt
01,0,51,5178,129,Wesselburenerkoog,"  21,89",  167,  82,  85,"8,876161","54,239245",03,gering besiedelt
01,0,51,5178,132,Westerdeichstrich,"  7,49",  855,  406,  449,"8,863517","54,162006",03,gering besiedelt
01,0,51,5178,140,Oesterwurth,"  14,19",  266,  140,  126,"8,976801","54,210346",03,gering besiedelt
01,0,53,0032,032,"Geesthacht, Stadt","  33,19", 29 363, 14 273, 15 090,"10,371623","53,433385",02,mittlere Besiedlungsdichte
01,0,53,0083,083,"Lauenburg/ Elbe, Stadt","  9,54", 11 253, 5 585, 5 668,"10,554267","53,374189",02,mittlere Besiedlungsdichte
01,0,53,0090,090,"Moelln, Stadt","  25,05", 18 520, 8 735, 9 785,"10,691022","53,629521",02,mittlere Besiedlungsdichte
01,0,53,0100,100,"Ratzeburg, Stadt","  30,29", 13 866, 6 467, 7 399,"10,774492","53,699024",02,mittlere Besiedlungsdichte
01,0,53,0116,116,"Schwarzenbek, Stadt","  11,56", 15 278, 7 455, 7 823,"10,477663","53,502645",02,mittlere Besiedlungsdichte
01,0,53,0129,129,Wentorf bei Hamburg,"  6,87", 12 104, 5 832, 6 272,"10,2519","53,491012",02,mittlere Besiedlungsdichte
01,0,53,5308,008,Behlendorf,"  10,26",  372,  183,  189,"10,667846","53,699475",03,gering besiedelt
01,0,53,5308,009,Berkenthin,"  10,25", 2 062, 1 020, 1 042,"10,638297","53,734569",03,gering besiedelt
01,0,53,5308,011,Bliestorf,"  10,35",  643,  303,  340,"10,602527","53,768797",03,gering besiedelt
01,0,53,5308,024,Duechelsdorf,"  3,01",  152,  79,  73,"10,580373","53,737072",03,gering besiedelt
01,0,53,5308,034,Goeldenitz,"  5,15",  231,  116,  115,"10,631501","53,722025",03,gering besiedelt
01,0,53,5308,061,Kastorf,"  6,90", 1 151,  584,  567,"10,570134","53,748875",03,gering besiedelt
01,0,53,5308,067,Klempau,"  10,07",  626,  328,  298,"10,660387","53,762851",03,gering besiedelt
01,0,53,5308,075,Krummesse,"  3,35", 1 717,  814,  903,"10,641961","53,780123",03,gering besiedelt
01,0,53,5308,094,Niendorf bei Berkenthin,"  3,99",  193,  96,  97,"10,626158","53,702417",03,gering besiedelt
01,0,53,5308,103,Rondeshagen,"  9,51",  834,  410,  424,"10,629717","53,753642",03,gering besiedelt
01,0,53,5308,120,Sierksrade,"  4,00",  367,  193,  174,"10,600344","53,736555",03,gering besiedelt
01,0,53,5313,,Breitenfelde,,,,,,,,
01,0,53,5313,002,Alt Moelln,"  6,44",  855,  416,  439,"10,658165","53,622775",02,mittlere Besiedlungsdichte
01,0,53,5313,005,Baelau,"  6,50",  229,  107,  122,"10,621739","53,616381",03,gering besiedelt
01,0,53,5313,013,Borstorf,"  8,65",  270,  136,  134,"10,564234","53,613074",03,gering besiedelt
01,0,53,5313,014,Breitenfelde,"  12,54", 1 932,  968,  964,"10,632977","53,605112",02,mittlere Besiedlungsdichte
01,0,53,5313,037,Grambek,"  12,66",  418,  201,  217,"10,68068","53,574025",03,gering besiedelt
01,0,53,5313,056,Hornbek,"  5,89",  178,  88,  90,"10,648548","53,5589",03,gering besiedelt
01,0,53,5313,084,Lehmrade,"  11,40",  491,  241,  250,"10,752721","53,5947",03,gering besiedelt
01,0,53,5313,095,Niendorf/ Stecknitz,"  8,41",  641,  324,  317,"10,609244","53,587228",03,gering besiedelt
01,0,53,5313,113,Schretstaken,"  8,47",  502,  257,  245,"10,554081","53,58907",03,gering besiedelt
01,0,53,5313,125,Talkau,"  4,88",  514,  254,  260,"10,569209","53,577157",03,gering besiedelt
01,0,53,5313,134,Woltersdorf,"  7,90",  308,  158,  150,"10,639912","53,5768",03,gering besiedelt
01,0,53,5318,,Buechen,,,,,,,,
01,0,53,5318,010,Besenthal,"  12,65",  83,  45,  38,"10,743239","53,530139",03,gering besiedelt
01,0,53,5318,015,Broethen,"  10,69",  278,  140,  138,"10,667504","53,480409",03,gering besiedelt
01,0,53,5318,020,Buechen,"  16,85", 5 694, 2 762, 2 932,"10,616482","53,480926",03,gering besiedelt
01,0,53,5318,029,Fitzen,"  9,11",  348,  181,  167,"10,64667","53,493942",03,gering besiedelt
01,0,53,5318,035,Goettin,"  5,21",  57,  30,  27,"10,70332","53,533922",03,gering besiedelt
01,0,53,5318,046,Gudow,"  42,26", 1 625,  802,  823,"10,771255","53,555807",03,gering besiedelt
01,0,53,5318,048,Guester,"  7,78", 1 230,  615,  615,"10,680583","53,53952",03,gering besiedelt
01,0,53,5318,064,Klein Pampau,"  4,17",  614,  315,  299,"10,586656","53,512681",03,gering besiedelt
01,0,53,5318,080,Langenlehsten,"  23,37",  157,  81,  76,"10,740373","53,499816",03,gering besiedelt
01,0,53,5318,092,Muessen,"  11,46",  984,  492,  492,"10,562042","53,494949",03,gering besiedelt
01,0,53,5318,104,Roseburg,"  16,23",  535,  268,  267,"10,625016","53,531303",03,gering besiedelt
01,0,53,5318,115,Schulendorf,"  11,39",  459,  233,  226,"10,561815","53,47331",03,gering besiedelt
01,0,53,5318,119,Siebeneichen,"  4,68",  265,  131,  134,"10,618693","53,510828",03,gering besiedelt
01,0,53,5318,126,Tramm,"  6,75",  355,  172,  183,"10,614693","53,563231",03,gering besiedelt
01,0,53,5318,132,Witzeeze,"  10,46",  861,  382,  479,"10,610144","53,452652",03,gering besiedelt
01,0,53,5323,,Hohe Elbgeest,,,,,,,,
01,0,53,5323,003,Aumuehle,"  3,47", 3 184, 1 496, 1 688,"10,31337","53,528449",02,mittlere Besiedlungsdichte
01,0,53,5323,012,Boernsen,"  8,42", 4 381, 2 203, 2 178,"10,285512","53,476625",02,mittlere Besiedlungsdichte
01,0,53,5323,023,Dassendorf,"  7,95", 3 170, 1 613, 1 557,"10,372665","53,488608",03,gering besiedelt
01,0,53,5323,028,Escheburg,"  8,91", 3 334, 1 664, 1 670,"10,309429","53,46713",02,mittlere Besiedlungsdichte
01,0,53,5323,050,Hamwarde,"  6,68",  785,  390,  395,"10,421397","53,452847",03,gering besiedelt
01,0,53,5323,053,Hohenhorn,"  6,93",  529,  276,  253,"10,367641","53,475564",03,gering besiedelt
01,0,53,5323,072,Kroeppelshagen-Fahrendorf,"  8,37", 1 217,  621,  596,"10,315197","53,488589",03,gering besiedelt
01,0,53,5323,131,Wiershop,"  5,15",  159,  80,  79,"10,451895","53,442501",03,gering besiedelt
01,0,53,5323,133,Wohltorf,"  5,97", 2 433, 1 196, 1 237,"10,291254","53,517253",02,mittlere Besiedlungsdichte
01,0,53,5323,135,Worth,"  6,07",  170,  86,  84,"10,409895","53,467424",03,gering besiedelt
01,0,53,5343,,Luetau,,,,,,,,
01,0,53,5343,006,Basedow,"  7,47",  659,  345,  314,"10,583592","53,416151",03,gering besiedelt
01,0,53,5343,019,Buchhorst,"  5,19",  164,  79,  85,"10,568335","53,384993",03,gering besiedelt
01,0,53,5343,022,Dalldorf,"  6,05",  367,  189,  178,"10,610809","53,435819",03,gering besiedelt
01,0,53,5343,058,Juliusburg,"  6,04",  174,  84,  90,"10,506484","53,41715",03,gering besiedelt
01,0,53,5343,073,Kruezen,"  8,25",  362,  176,  186,"10,527113","53,401518",03,gering besiedelt
01,0,53,5343,074,Krukow,"  7,94",  154,  79,  75,"10,478187","53,418864",03,gering besiedelt
01,0,53,5343,082,Lanze,"  9,05",  281,  139,  142,"10,604387","53,386341",03,gering besiedelt
01,0,53,5343,087,Luetau,"  11,24",  709,  366,  343,"10,545404","53,435861",03,gering besiedelt
01,0,53,5343,111,Schnakenbek,"  13,02",  848,  414,  434,"10,50018","53,385426",03,gering besiedelt
01,0,53,5343,128,Wangelau,"  6,52",  224,  110,  114,"10,546476","53,453654",03,gering besiedelt
01,0,53,5358,,Lauenburgische Seen,,,,,,,,
01,0,53,5358,001,Albsfelde,"  4,18",  72,  34,  38,"10,694451","53,679957",03,gering besiedelt
01,0,53,5358,004,Baek,"  4,30",  871,  414,  457,"10,787081","53,716345",03,gering besiedelt
01,0,53,5358,016,Brunsmark,"  4,29",  149,  74,  75,"10,750236","53,617106",03,gering besiedelt
01,0,53,5358,018,Buchholz,"  2,93",  230,  114,  116,"10,745377","53,731393",03,gering besiedelt
01,0,53,5358,026,Einhaus,"  2,53",  379,  187,  192,"10,725697","53,714136",03,gering besiedelt
01,0,53,5358,030,Fredeburg,"  10,09",  47,  24,  23,"10,72758","53,674357",03,gering besiedelt
01,0,53,5358,033,Giesensdorf,"  2,73",  133,  61,  72,"10,713651","53,688273",03,gering besiedelt
01,0,53,5358,040,Groß Disnack,"  5,99",  83,  42,  41,"10,69059","53,741974",03,gering besiedelt
01,0,53,5358,041,Groß Groenau,"  4,90", 3 573, 1 740, 1 833,"10,750476","53,801387",02,mittlere Besiedlungsdichte
01,0,53,5358,043,Groß Sarau,"  17,08",  937,  461,  476,"10,737505","53,771586",03,gering besiedelt
01,0,53,5358,051,Harmsdorf,"  3,57",  310,  157,  153,"10,725868","53,700407",03,gering besiedelt
01,0,53,5358,054,Hollenbek,"  7,21",  426,  228,  198,"10,819161","53,592192",03,gering besiedelt
01,0,53,5358,057,Horst,"  11,93",  221,  115,  106,"10,771156","53,625103",03,gering besiedelt
01,0,53,5358,062,Kittlitz,"  17,73",  242,  130,  112,"10,918869","53,664235",03,gering besiedelt
01,0,53,5358,066,Klein Zecher,"  9,11",  249,  121,  128,"10,872803","53,577413",03,gering besiedelt
01,0,53,5358,078,Kulpin,"  6,07",  209,  100,  109,"10,695812","53,71009",03,gering besiedelt
01,0,53,5358,088,Mechow,"  4,43",  114,  58,  56,"10,801815","53,717556",03,gering besiedelt
01,0,53,5358,093,Mustin,"  11,88",  754,  365,  389,"10,886235","53,68453",03,gering besiedelt
01,0,53,5358,098,Pogeez,"  4,51",  381,  191,  190,"10,729435","53,750929",03,gering besiedelt
01,0,53,5358,102,Roemnitz,"  5,15",  61,  30,  31,"10,769068","53,710716",03,gering besiedelt
01,0,53,5358,107,Salem,"  25,11",  594,  297,  297,"10,827965","53,656396",03,gering besiedelt
01,0,53,5358,110,Schmilau,"  11,55",  553,  278,  275,"10,755985","53,664589",03,gering besiedelt
01,0,53,5358,117,Seedorf,"  27,89",  532,  271,  261,"10,866843","53,619223",03,gering besiedelt
01,0,53,5358,123,Sterley,"  21,39",  915,  457,  458,"10,817794","53,620149",03,gering besiedelt
01,0,53,5358,136,Ziethen,"  11,18",  998,  487,  511,"10,809322","53,693695",02,mittlere Besiedlungsdichte
01,0,53,5373,,Schwarzenbek-Land,,,,,,,,
01,0,53,5373,007,Basthorst,"  10,82",  406,  203,  203,"10,47139","53,576616",03,gering besiedelt
01,0,53,5373,017,Brunstorf,"  13,76",  639,  315,  324,"10,425938","53,491563",03,gering besiedelt
01,0,53,5373,021,Dahmker,"  2,04",  165,  89,  76,"10,444516","53,587821",03,gering besiedelt
01,0,53,5373,027,Elmenhorst,"  12,99",  869,  438,  431,"10,537551","53,544876",03,gering besiedelt
01,0,53,5373,031,Fuhlenhagen,"  5,74",  335,  179,  156,"10,526645","53,573031",03,gering besiedelt
01,0,53,5373,036,Grabau,"  4,10",  311,  154,  157,"10,519825","53,513609",02,mittlere Besiedlungsdichte
01,0,53,5373,042,Groß Pampau,"  4,32",  147,  73,  74,"10,55974","53,520192",03,gering besiedelt
01,0,53,5373,045,Grove,"  5,28",  252,  126,  126,"10,492067","53,528123",03,gering besiedelt
01,0,53,5373,047,Guelzow,"  17,07", 1 239,  641,  598,"10,490939","53,442249",03,gering besiedelt
01,0,53,5373,049,Hamfelde,"  3,47",  466,  218,  248,"10,44893","53,597194",03,gering besiedelt
01,0,53,5373,052,Havekost,"  5,91",  177,  88,  89,"10,472892","53,539891",03,gering besiedelt
01,0,53,5373,059,Kankelau,"  4,21",  201,  98,  103,"10,56832","53,549311",03,gering besiedelt
01,0,53,5373,060,Kasseburg,"  7,89",  587,  288,  299,"10,415259","53,567317",03,gering besiedelt
01,0,53,5373,070,Koethel,"  1,52",  274,  139,  135,"10,510002","53,606936",03,gering besiedelt
01,0,53,5373,071,Kollow,"  8,21",  588,  284,  304,"10,458799","53,463155",03,gering besiedelt
01,0,53,5373,076,Kuddewoerde,"  7,34", 1 339,  644,  695,"10,401901","53,587291",03,gering besiedelt
01,0,53,5373,089,Moehnsen,"  7,48",  540,  274,  266,"10,469197","53,559974",03,gering besiedelt
01,0,53,5373,091,Muehlenrade,"  3,74",  176,  87,  89,"10,48775","53,595838",03,gering besiedelt
01,0,53,5373,106,Sahms,"  5,94",  380,  185,  195,"10,532891","53,527525",03,gering besiedelt
01,0,53,5391,,Sandesneben-Nusse,,,,,,,,
01,0,53,5391,025,Duvensee,"  12,40",  545,  258,  287,"10,568","53,693065",03,gering besiedelt
01,0,53,5391,038,Grinau,"  2,74",  305,  158,  147,"10,549747","53,775531",03,gering besiedelt
01,0,53,5391,039,Groß Boden,"  2,70",  197,  103,  94,"10,452871","53,752713",03,gering besiedelt
01,0,53,5391,044,Groß Schenkenberg,"  6,52",  534,  254,  280,"10,56488","53,793492",03,gering besiedelt
01,0,53,5391,068,Klinkrade,"  7,40",  612,  296,  316,"10,55033","53,716092",03,gering besiedelt
01,0,53,5391,069,Koberg,"  11,98",  752,  378,  374,"10,52596","53,639594",03,gering besiedelt
01,0,53,5391,077,Kuehsen,"  7,28",  364,  175,  189,"10,615824","53,682661",03,gering besiedelt
01,0,53,5391,079,Labenz,"  5,75",  843,  421,  422,"10,524596","53,708352",03,gering besiedelt
01,0,53,5391,081,Lankau,"  19,12",  476,  239,  237,"10,665092","53,668023",03,gering besiedelt
01,0,53,5391,085,Linau,"  9,66", 1 167,  598,  569,"10,46755","53,643933",03,gering besiedelt
01,0,53,5391,086,Luechow,"  4,62",  277,  137,  140,"10,529518","53,690744",03,gering besiedelt
01,0,53,5391,096,Nusse,"  6,22", 1 053,  502,  551,"10,575979","53,65908",03,gering besiedelt
01,0,53,5391,097,Panten,"  13,83",  635,  323,  312,"10,61977","53,664571",03,gering besiedelt
01,0,53,5391,099,Poggensee,"  5,44",  335,  163,  172,"10,579621","53,640461",03,gering besiedelt
01,0,53,5391,101,Ritzerau,"  11,11",  275,  136,  139,"10,567545","53,663003",03,gering besiedelt
01,0,53,5391,108,Sandesneben,"  6,13", 1 721,  870,  851,"10,497042","53,687957",03,gering besiedelt
